"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-03-23 00:00:00",7676,4916,0,0,3008,72441.57142857143,
"2019-03-24 00:00:00",0,2505,0,0,0,53761.57142857143,
"2019-03-25 00:00:00",18103,0,0,1742,2550,56637.142857142855,
"2019-03-26 00:00:00",61749,32094,0,0,0,65023.28571428572,
"2019-03-27 00:00:00",18103,25408,0,0,15676,68152.57142857143,
"2019-03-28 00:00:00",33487,0,0,0,0,60181,
"2019-03-29 00:00:00",0,11533,0,0,0,34079.142857142855,
"2019-03-30 00:00:00",30314,30113,5186,1026,4013,41944,
"2019-03-31 00:00:00",0,11824,0,0,0,43275.28571428572,
"2019-04-01 00:00:00",44918,14394,0,2267,0,48873.142857142855,
"2019-04-02 00:00:00",38200,4630,0,0,46922,48288.71428571428,
"2019-04-03 00:00:00",12807,25160,73,0,137850,64960.71428571428,
"2019-04-04 00:00:00",95757,0,0,0,0,73856.42857142857,
"2019-04-05 00:00:00",56378,403,0,0,0,80320.57142857143,
"2019-04-06 00:00:00",31458,4630,5514,3246,7928,77766.85714285714,
"2019-04-07 00:00:00",34130,0,3998,0,0,81524.57142857143,
"2019-04-08 00:00:00",0,11824,0,2830,0,74820.85714285714,
"2019-04-09 00:00:00",56382,4630,0,0,0,70715.14285714286,
"2019-04-10 00:00:00",0,25408,0,5001,3713,50462.42857142857,
"2019-04-11 00:00:00",111379,31438,11719,0,0,58859.57142857143,
"2019-04-12 00:00:00",7691,0,0,0,0,51846.57142857143,
"2019-04-13 00:00:00",67110,4630,0,0,0,54555.42857142857,
"2019-04-14 00:00:00",0,0,0,0,43696,55350.857142857145,
"2019-04-15 00:00:00",18561,33042,2873,2849,139601,81390,
"2019-04-16 00:00:00",35330,0,0,0,0,77721,
"2019-04-17 00:00:00",0,0,0,1227,676,73118.28571428571,
"2019-04-18 00:00:00",182400,4630,0,2936,0,78179.71428571429,
"2019-04-19 00:00:00",62696,5841,0,0,4191,87471,
"2019-04-20 00:00:00",7732,0,0,0,0,78326.85714285714,
"2019-04-21 00:00:00",0,27582,0,0,0,76024.85714285714,
"2019-04-22 00:00:00",0,0,0,1742,0,48141,
"2019-04-23 00:00:00",5967,0,0,0,0,43946.28571428572,
"2019-04-24 00:00:00",27436,0,0,1305,0,47780.142857142855,
"2019-04-25 00:00:00",86394,25160,0,0,0,36578.42857142857,
"2019-04-26 00:00:00",69118,0,0,557,0,36142,
"2019-04-27 00:00:00",23305,0,0,6705,0,39324.71428571428,
"2019-04-28 00:00:00",11675,0,0,0,0,37052.28571428572,
"2019-04-29 00:00:00",3968,4630,0,7282,6074,39940.142857142855,
"2019-04-30 00:00:00",121997,0,0,0,0,56515.857142857145,
"2019-05-01 00:00:00",83349,0,0,0,36721,69562.85714285714,
"2019-05-02 00:00:00",73492,25352,0,0,12633,69551.71428571429,
"2019-05-03 00:00:00",38107,0,0,0,0,65042,
"2019-05-04 00:00:00",3936,11533,0,3237,2449,63777.142857142855,
"2019-05-05 00:00:00",0,25160,0,0,2618,66077.71428571429,
"2019-05-06 00:00:00",19006,5201,0,1227,137636,86236.85714285714,
"2019-05-07 00:00:00",32830,0,0,0,0,73498.71428571429,
"2019-05-08 00:00:00",127209,0,0,0,10974,76086.28571428571,
"2019-05-09 00:00:00",181653,6231,0,0,0,87001.71428571429,
"2019-05-10 00:00:00",16818,0,7152,0,0,84982.28571428571,
"2019-05-11 00:00:00",46865,5201,0,0,0,89397.85714285714,
"2019-05-12 00:00:00",23947,25160,0,582,0,92527.85714285714,
"2019-05-13 00:00:00",0,0,4941,3885,41943,76485,
"2019-05-14 00:00:00",21763,11533,0,0,0,76551.71428571429,
"2019-05-15 00:00:00",54032,20104,1663,4727,0,68315.14285714286,
"2019-05-16 00:00:00",37764,0,0,0,7321,47915.142857142855,
"2019-05-17 00:00:00",18203,0,0,0,10347,48569.42857142857,
"2019-05-18 00:00:00",39429,0,4395,0,0,47392.142857142855,
"2019-05-19 00:00:00",0,11533,0,0,0,41941.28571428572,
"2019-05-20 00:00:00",19006,30797,1293,7732,10005,44521.71428571428,
"2019-05-21 00:00:00",23851,23514,0,0,9972,47956.142857142855,
"2019-05-22 00:00:00",0,25636,8332,0,53308,48920.28571428572,
"2019-05-23 00:00:00",102535,11533,0,0,85076,70928.85714285714,
"2019-05-24 00:00:00",0,13273,0,0,0,68746.28571428571,
"2019-05-25 00:00:00",31742,0,0,0,9052,68313.28571428571,
"2019-05-26 00:00:00",21878,4630,0,0,0,70452.71428571429,
"2019-05-27 00:00:00",19006,0,0,12487,118504,82047.57142857143,
"2019-05-28 00:00:00",40078,9790,0,0,9991,82407.85714285714,
"2019-05-29 00:00:00",0,31388,0,0,0,74423.85714285714,
"2019-05-30 00:00:00",83101,4630,0,2316,0,58838.57142857143,
"2019-05-31 00:00:00",46288,0,0,0,6967,64550.42857142857,
"2019-06-01 00:00:00",53472,13989,0,2423,0,68706.28571428571,
"2019-06-02 00:00:00",0,0,0,1227,39440,70728.85714285714,
"2019-06-03 00:00:00",33977,4630,0,7706,0,55917,
"2019-06-04 00:00:00",23999,0,0,0,0,50794,
"2019-06-05 00:00:00",34711,0,3662,0,224,51824,
"2019-06-06 00:00:00",48378,0,0,0,0,45871.142857142855,
"2019-06-07 00:00:00",87713,25160,0,0,0,54388,
"2019-06-08 00:00:00",119531,0,0,0,8070,62633.142857142855,
"2019-06-09 00:00:00",0,0,0,0,0,56823.57142857143,
"2019-06-10 00:00:00",73052,0,0,0,129878,79197.14285714286,
"2019-06-11 00:00:00",86610,0,0,1701,10347,89862.85714285714,
"2019-06-12 00:00:00",43907,0,0,4820,4713,91983.28571428571,
"2019-06-13 00:00:00",89520,0,0,0,0,97860.71428571429,
"2019-06-14 00:00:00",61194,29379,0,2949,0,95096.28571428571,
"2019-06-15 00:00:00",20168,0,0,0,32358,84371.28571428571,
"2019-06-16 00:00:00",11744,41354,5026,0,0,92674.71428571429,
"2019-06-17 00:00:00",0,0,0,0,11369,65308.857142857145,
"2019-06-18 00:00:00",51234,0,0,0,0,58533.857142857145,
"2019-06-19 00:00:00",0,4916,0,0,42997,57744.142857142855,
"2019-06-20 00:00:00",36504,0,0,917,0,50301.57142857143,
"2019-06-21 00:00:00",47453,5802,0,0,0,44549.142857142855,
"2019-06-22 00:00:00",0,30038,722,0,0,41439.857142857145,
"2019-06-23 00:00:00",20100,0,2677,0,23631,39766.28571428572,
"2019-06-24 00:00:00",0,0,0,0,0,38142.142857142855,
"2019-06-25 00:00:00",43297,0,0,7228,0,38040.857142857145,
"2019-06-26 00:00:00",30118,4916,0,0,0,36201,
"2019-06-27 00:00:00",129373,0,0,0,3713,49867.42857142857,
"2019-06-28 00:00:00",26235,0,1819,672,0,46363.28571428572,
"2019-06-29 00:00:00",23999,4916,0,0,0,46099.57142857143,
"2019-06-30 00:00:00",0,25408,0,0,20236,45990.28571428572,
