date,postcode,fuel,pc_median,st_median,spread,n_stations
2026-05-31,3046,ulp95,200.9,196.9,4.0,3
2026-05-31,3046,diesel,223.3,221.3,2.0,3
2026-05-31,3047,ulp91,179.9,179.9,0.0,7
2026-05-31,3047,ulp95,201.2,196.9,4.3,7
2026-05-31,3047,diesel,209.7,221.3,-11.6,7
2026-05-31,3048,ulp91,179.9,179.9,0.0,3
2026-05-31,3048,ulp95,201.9,196.9,5.0,3
2026-05-31,3048,diesel,221.9,221.3,0.6,3
2026-05-31,3049,ulp91,176.9,179.9,-3.0,1
2026-05-31,3049,ulp95,189.9,196.9,-7.0,1
2026-05-31,3051,ulp91,185.9,179.9,6.0,5
2026-05-31,3051,ulp95,206.9,196.9,10.0,5
2026-05-31,3051,diesel,223.9,221.3,2.6,5
2026-05-31,3053,ulp91,177.7,179.9,-2.2,3
2026-05-31,3053,ulp95,189.7,196.9,-7.2,3
2026-05-31,3053,diesel,219.5,221.3,-1.8,3
2026-05-31,3054,ulp91,174.9,179.9,-5.0,1
2026-05-31,3054,ulp95,188.9,196.9,-8.0,1
2026-05-31,3054,diesel,209.9,221.3,-11.4,1
2026-05-31,3055,ulp91,189.7,179.9,9.8,4
2026-05-31,3055,ulp95,205.9,196.9,9.0,4
2026-05-31,3056,ulp91,189.9,179.9,10.0,1
2026-05-31,3056,diesel,229.9,221.3,8.6,1
2026-05-31,3057,ulp91,183.7,179.9,3.8,2
2026-05-31,3057,ulp95,201.2,196.9,4.3,2
2026-05-31,3057,diesel,222.2,221.3,0.9,2
2026-05-31,3058,ulp91,176.8,179.9,-3.1,8
2026-05-31,3058,ulp95,196.9,196.9,0.0,8
2026-05-31,3058,diesel,220.6,221.3,-0.7,8
2026-05-31,3059,ulp91,179.7,179.9,-0.2,5
2026-05-31,3059,ulp95,196.8,196.9,-0.1,5
2026-05-31,3059,diesel,218.5,221.3,-2.8,5
2026-05-31,3060,ulp91,178.8,179.9,-1.1,3
2026-05-31,3060,ulp95,195.2,196.9,-1.7,3
2026-05-31,3060,diesel,219.5,221.3,-1.8,3
2026-05-31,3061,ulp91,182.9,179.9,3.0,7
2026-05-31,3061,ulp95,199.9,196.9,3.0,7
2026-05-31,3061,diesel,215.7,221.3,-5.6,7
2026-05-31,3062,ulp91,181.4,179.9,1.5,2
2026-05-31,3062,ulp95,196.9,196.9,0.0,2
2026-05-31,3062,diesel,219.4,221.3,-1.9,2
2026-05-31,3064,ulp91,183.9,179.9,4.0,22
2026-05-31,3064,ulp95,201.9,196.9,5.0,22
2026-05-31,3064,diesel,219.9,221.3,-1.4,22
2026-05-31,3065,ulp91,178.8,179.9,-1.1,2
2026-05-31,3065,ulp95,193.3,196.9,-3.6,2
2026-05-31,3066,ulp91,177.7,179.9,-2.2,3
2026-05-31,3066,ulp95,227.5,196.9,30.6,3
2026-05-31,3066,diesel,315.9,221.3,94.6,3
2026-05-31,3067,ulp91,181.9,179.9,2.0,3
2026-05-31,3067,ulp95,198.9,196.9,2.0,3
2026-05-31,3067,diesel,223.3,221.3,2.0,3
2026-05-31,3068,ulp91,177.7,179.9,-2.2,3
2026-05-31,3068,ulp95,195.2,196.9,-1.7,3
2026-05-31,3068,diesel,219.5,221.3,-1.8,3
2026-05-31,3070,ulp91,177.9,179.9,-2.0,3
2026-05-31,3070,ulp95,195.9,196.9,-1.0,3
2026-05-31,3071,ulp91,179.9,179.9,0.0,3
2026-05-31,3071,ulp95,195.9,196.9,-1.0,3
2026-05-31,3071,diesel,219.9,221.3,-1.4,3
2026-05-31,3072,ulp91,177.7,179.9,-2.2,11
2026-05-31,3072,ulp95,190.9,196.9,-6.0,11
2026-05-31,3072,diesel,219.2,221.3,-2.1,11
2026-05-31,3073,ulp91,169.8,179.9,-10.1,8
2026-05-31,3073,ulp95,187.2,196.9,-9.7,8
2026-05-31,3073,diesel,209.9,221.3,-11.4,8
2026-05-31,3074,ulp91,176.9,179.9,-3.0,9
2026-05-31,3074,ulp95,191.9,196.9,-5.0,9
2026-05-31,3074,diesel,213.9,221.3,-7.4,9
2026-05-31,3076,ulp91,184.9,179.9,5.0,16
2026-05-31,3076,ulp95,201.2,196.9,4.3,16
2026-05-31,3076,diesel,219.9,221.3,-1.4,16
2026-05-31,3078,ulp91,177.7,179.9,-2.2,5
2026-05-31,3078,ulp95,195.2,196.9,-1.7,5
2026-05-31,3078,diesel,218.5,221.3,-2.8,5
2026-05-31,3079,ulp91,199.9,179.9,20.0,1
2026-05-31,3079,ulp95,225.9,196.9,29.0,1
2026-05-31,3079,diesel,265.9,221.3,44.6,1
2026-05-31,3081,ulp91,176.8,179.9,-3.1,2
2026-05-31,3081,ulp95,188.3,196.9,-8.6,2
