postcode,suburb_name,zone,petrol_vehicles,diesel_vehicles,total_vehicles,ev_penetration_pct,diesel_fraction_pct,fleet_type,forecast_date,week_end,run_date,ulp91_current_cpl,ulp91_forecast_cpl,ulp91_change_cpl,ulp91_spread_cpl,ulp91_spread_source,ulp95_current_cpl,ulp95_forecast_cpl,ulp95_change_cpl,ulp95_spread_cpl,ulp95_spread_source,diesel_current_cpl,diesel_forecast_cpl,diesel_change_cpl,diesel_spread_cpl,diesel_spread_source
3178,Rowville,inner_metro,21995,5725,28488,2.3,20.7,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,176.8,167.8,-9.0,-4.1,live,191.7,184.7,-7.0,-4.2,live,250.6,255.5,4.9,-2.9,live
3630,Shepparton,regional_vic,21916,11140,33441,0.5,33.7,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,196.9,189.9,-7.0,1.0,live,253.0,257.9,4.9,-0.5,live
3076,Lalor,inner_metro,21779,7448,29969,1.7,25.5,mixed,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,197.2,190.2,-7.0,1.3,live,250.0,254.9,4.9,-3.5,live
3043,Tullamarine,inner_metro,21524,8683,30778,1.3,28.7,mixed,2026-05-08,2026-05-14,2026-05-03,177.1,168.1,-9.0,-3.8,live,192.1,185.1,-7.0,-3.8,live,251.0,255.9,4.9,-2.5,live
3072,Preston,inner_metro,21446,4693,26778,1.9,18.0,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,188.5,181.5,-7.0,-7.4,live,252.5,257.4,4.9,-1.0,live
3152,Knox City,inner_metro,21426,4205,26521,3.0,16.4,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,176.1,167.1,-9.0,-4.8,live,190.9,183.9,-7.0,-5.0,live,253.0,257.9,4.9,-0.5,live
3173,Noble Park,inner_metro,20998,5719,27495,2.5,21.4,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,193.6,186.6,-7.0,-2.3,live,255.5,260.4,4.9,2.0,zone_model
3046,Glenroy North,inner_metro,20858,4374,25750,1.3,17.3,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,195.9,188.9,-7.0,0.0,live,255.0,259.9,4.9,1.5,live
3058,Coburg,inner_metro,20717,4597,26107,2.3,18.2,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,175.7,166.7,-9.0,-5.2,live,190.5,183.5,-7.0,-5.4,live,254.0,258.9,4.9,0.5,live
3130,Nunawading,inner_metro,20143,3811,24807,3.2,15.9,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,194.9,187.9,-7.0,-1.0,live,255.0,259.9,4.9,1.5,live
3336,Melton,middle_metro,19959,4974,25672,2.3,19.9,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,184.9,175.9,-9.0,4.0,zone_model,199.9,192.9,-7.0,4.0,zone_model,257.5,262.4,4.9,4.0,zone_model
3750,South Morang,regional_vic,19950,4695,25252,1.7,19.1,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,184.1,175.1,-9.0,3.2,live,197.9,190.9,-7.0,2.0,live,266.5,271.4,4.9,13.0,zone_model
3170,Mulgrave,inner_metro,19643,4555,25510,4.6,18.8,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,174.9,165.9,-9.0,-6.0,live,188.9,181.9,-7.0,-7.0,live,250.6,255.5,4.9,-2.9,live
3083,Bundoora,inner_metro,19538,4781,24808,1.5,19.7,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,174.7,165.7,-9.0,-6.2,live,185.5,178.5,-7.0,-10.4,live,250.0,254.9,4.9,-3.5,live
3217,Grovedale,middle_metro,18924,5470,24902,1.6,22.4,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,195.9,188.9,-7.0,0.0,live,250.5,255.4,4.9,-3.0,live
3204,Moorabbin,inner_metro,18747,3312,22923,3.4,15.0,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,182.5,173.5,-9.0,1.6,live,201.6,194.6,-7.0,5.7,live,256.0,260.9,4.9,2.5,live
3163,Moorabbin,inner_metro,18311,2604,21547,2.6,12.5,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,186.0,177.0,-9.0,5.1,live,197.7,190.7,-7.0,1.8,live,263.0,267.9,4.9,9.5,live
3109,Box Hill North,inner_metro,18154,3165,22108,3.3,14.8,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,177.1,168.1,-9.0,-3.8,live,193.6,186.6,-7.0,-2.3,live,255.0,259.9,4.9,1.5,live
3082,Mill Park,inner_metro,18108,3832,22294,1.1,17.5,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,175.9,166.9,-9.0,-5.0,live,194.4,187.4,-7.0,-1.5,live,255.0,259.9,4.9,1.5,live
3165,Oakleigh South,inner_metro,17710,3283,21722,3.0,15.6,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,192.2,185.2,-7.0,-3.7,live,257.0,261.9,4.9,3.5,live
3095,Hurstbridge,inner_metro,17563,5422,23735,2.6,23.6,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,195.9,188.9,-7.0,0.0,live,255.0,259.9,4.9,1.5,live
3215,North Geelong,middle_metro,17531,6646,24676,1.2,27.5,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,197.1,190.1,-7.0,1.2,live,255.0,259.9,4.9,1.5,live
3340,Bacchus Marsh,middle_metro,17526,8973,26976,0.9,33.9,mixed,2026-05-08,2026-05-14,2026-05-03,181.1,172.1,-9.0,0.2,live,197.2,190.2,-7.0,1.3,live,251.5,256.4,4.9,-2.0,live
3121,Richmond,inner_metro,17291,6197,24443,3.7,26.4,mixed,2026-05-08,2026-05-14,2026-05-03,177.1,168.1,-9.0,-3.8,live,186.7,179.7,-7.0,-9.2,live,254.0,258.9,4.9,0.5,live
3931,Langwarrin South,regional_vic,17210,6601,24353,1.7,27.7,mixed,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,195.7,188.7,-7.0,-0.2,live,252.0,256.9,4.9,-1.5,live
3038,Taylors Lakes,inner_metro,17123,4023,21511,1.1,19.0,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.9,171.9,-9.0,0.0,live,196.6,189.6,-7.0,0.7,live,251.8,256.7,4.9,-1.7,live
3012,Brooklyn,inner_metro,17077,5165,22901,2.2,23.2,petrol_dominant,2026-05-08,2026-05-14,2026-05-03,180.0,171.0,-9.0,-0.9,live,193.9,186.9,-7.0,-2.0,live,248.0,252.9,4.9,-5.5,live
